cv_seed,pair,candidate,reference,horizon,severity,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I1_minus_B0,I1,B0,24,0_to_.01,13815,0.004545793419872903,0.0026203379965705756,0.28547644543024736,36.1999694226225,0.001533918322865748,0.004545793419872903,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,.01_to_.05,1763,0.014714487366605309,0.011891792354552674,0.38171795210848347,20.965229921076364,-0.01005998961040824,0.014714487366605309,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,above_.05,311,0.06630480364785557,0.054338885889917435,1.367257692888792,16.899393511764323,-0.05071082062332961,0.06630480364785557,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,48,zero,10947,0.002045551801041287,0.0004504432102818099,0.0458053369231264,4.931001822954973,0.0004504432102818099,0.002110234907004357,-6.468310596306976e-05,-3.0652087949247564,0.0029426542247849505
20260917,I1_minus_B0,I1,B0,48,0_to_.01,10861,0.0035346692361171903,0.0019564544179649294,0.13569610245766942,21.2490514335171,0.0007121920662803519,0.003691179018671388,-0.00015650978255419765,-4.240102735806406,0.012282878014853865
20260917,I1_minus_B0,I1,B0,48,.01_to_.05,985,0.015246411085895126,0.012432611309621507,0.22896625523510422,12.246122139977185,-0.01165149350068931,0.015299025567613199,-5.2614481718072856e-05,-0.3439074043346535,0.0015830253336009126
20260917,I1_minus_B0,I1,B0,48,above_.05,151,0.08148202924350594,0.07100900333885055,1.002537484535573,10.722359504166432,-0.07100900333885055,0.08150625979528248,-2.423055177654121e-05,-0.029728455013644517,0.0005963437226552681
20260917,I3_minus_B0,I3,B0,1,zero,14503,0.0020319039432410684,0.0005998331509109966,0.05987757360200343,8.699380187662184,0.0005998331509109966,0.0020319039432410684,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,0_to_.01,16098,0.004379462591403576,0.0024657201551320164,0.3087546913058245,39.6931630573152,0.0015306337979950789,0.004379462591403576,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,.01_to_.05,2628,0.01520912722926328,0.011179501973575699,0.6079025242275118,29.37973118655694,-0.005298476295003466,0.01520912722926328,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,above_.05,948,0.058152119594827544,0.035541544886172595,3.205822224675827,33.69338455209162,-0.026401520079163496,0.058152119594827544,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,zero,14147,0.0020175439282879765,0.0005998256935657604,0.057585130110881566,8.485734086874812,0.0005998256935657604,0.0020175439282879765,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,0_to_.01,15675,0.004364799759374029,0.002464211356993894,0.29863190102559,38.62651302087929,0.0015219915682885509,0.004364799759374029,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,.01_to_.05,2421,0.01508760580791058,0.011355427847019945,0.5511063904650657,27.491490817635288,-0.006186074590198299,0.01508760580791058,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,above_.05,739,0.05751819432563752,0.03878598861395262,2.4448652393980503,28.662845585710986,-0.030551899349688563,0.05751819432563752,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,24,zero,12791,0.002272073572659663,0.0005665802998793545,0.0660312136257279,7.247128615756824,0.0005665802998793545,0.0023451584204515078,-7.308484779184471e-05,-3.1164141046716054,0.004316319079905984
20260917,I3_minus_B0,I3,B0,24,0_to_.01,13815,0.004553925930379552,0.0025194451856164557,0.28649880465617994,34.806135239291336,0.0013843820537561033,0.004545793419872903,8.132510506649211e-06,0.17890189358575892,-0.0010223592259325787
20260917,I3_minus_B0,I3,B0,24,.01_to_.05,1763,0.014564947824001608,0.011763187521927999,0.3739987741193126,20.738499601159063,-0.009968740247529312,0.014714487366605309,-0.00014953954260370043,-1.016274226060243,0.007719177989170878
20260917,I3_minus_B0,I3,B0,24,above_.05,311,0.06649538746574478,0.054467825210477036,1.3751289683622732,16.93949364045836,-0.050714659047941306,0.06630480364785557,0.00019058381788920886,0.2874359132430282,-0.007871275473481099
20260917,I3_minus_B0,I3,B0,48,zero,10947,0.002045551801041287,0.0004504432102818099,0.0458053369231264,4.931001822954973,0.0004504432102818099,0.002110234907004357,-6.468310596306976e-05,-3.0652087949247564,0.0029426542247849505
20260917,I3_minus_B0,I3,B0,48,0_to_.01,10861,0.0035346692361171903,0.0019564544179649294,0.13569610245766942,21.2490514335171,0.0007121920662803519,0.003691179018671388,-0.00015650978255419765,-4.240102735806406,0.012282878014853865
20260917,I3_minus_B0,I3,B0,48,.01_to_.05,985,0.015246411085895126,0.012432611309621507,0.22896625523510422,12.246122139977185,-0.01165149350068931,0.015299025567613199,-5.2614481718072856e-05,-0.3439074043346535,0.0015830253336009126
20260917,I3_minus_B0,I3,B0,48,above_.05,151,0.08148202924350594,0.07100900333885055,1.002537484535573,10.722359504166432,-0.07100900333885055,0.08150625979528248,-2.423055177654121e-05,-0.029728455013644517,0.0005963437226552681
20260918,I3_minus_I1,I3,I1,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,24,zero,12791,0.0023069802338662178,0.0005561099245552708,0.06807572041275764,7.113202044986469,0.0005561099245552708,0.002563100305798798,-0.0002561200719325804,-9.99258871582709,0.015954538911743518
20260918,I3_minus_I1,I3,I1,24,0_to_.01,13815,0.00472534401540674,0.00245432768810758,0.3084734228233352,33.90653701120622,0.0013553616780140397,0.004859427106593859,-0.00013408309118711874,-2.759236598182091,0.017754426553057756
20260918,I3_minus_I1,I3,I1,24,.01_to_.05,1763,0.015516381017193357,0.012100245655420916,0.4244564948120765,21.332733090507077,-0.009255405617842688,0.015670497923718035,-0.00015411690652467752,-0.9834844257974318,0.008473727815417387
20260918,I3_minus_I1,I3,I1,24,above_.05,311,0.056933286271617325,0.04657325625979621,1.008075115648324,14.484282696796623,-0.04267221309863265,0.05689079886237419,4.248740924313321e-05,0.07468239169203805,-0.0015040241413988298
20260918,I3_minus_I1,I3,I1,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0021612883942189283,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004509966823867824,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.014918333724883315,0.0,0.0,0.0
20260918,I3_minus_I1,I3,I1,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.06980739046382615,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,24,zero,12791,0.0023069802338662178,0.0005561099245552708,0.06807572041275764,7.113202044986469,0.0005561099245552708,0.0021448214889482303,0.00016215874491798746,7.560477445491576,-0.009233804736720197
20260918,I3_minus_I2,I3,I2,24,0_to_.01,13815,0.00472534401540674,0.00245432768810758,0.3084734228233352,33.90653701120622,0.0013553616780140397,0.004701302085101036,2.4041930305704687e-05,0.5113887572103959,-0.003130959327724725
20260918,I3_minus_I2,I3,I2,24,.01_to_.05,1763,0.015516381017193357,0.012100245655420916,0.4244564948120765,21.332733090507077,-0.009255405617842688,0.015476471326557235,3.9909690636122375e-05,0.25787332134061813,-0.0021806814076342773
20260918,I3_minus_I2,I3,I2,24,above_.05,311,0.056933286271617325,0.04657325625979621,1.008075115648324,14.484282696796623,-0.04267221309863265,0.05703515418496686,-0.00010186791334953343,-0.17860548429337042,0.003610625164491177
20260918,I3_minus_I2,I3,I2,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0021612883942189283,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004509966823867824,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.014918333724883315,0.0,0.0,0.0
20260918,I3_minus_I2,I3,I2,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.06980739046382615,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,24,zero,12791,0.0021448214889482303,0.000522143626048541,0.05884191567603744,6.678739120786888,0.000522143626048541,0.002563100305798798,-0.0004182788168505679,-16.319252738733926,0.025188343648463715
20260918,I2_minus_I1,I2,I1,24,0_to_.01,13815,0.004701302085101036,0.002406743438149676,0.30534246349561045,33.249160598037776,0.0013139145482379683,0.004859427106593859,-0.00015812502149282343,-3.253984842745361,0.02088538588078248
20260918,I2_minus_I1,I2,I1,24,.01_to_.05,1763,0.015476471326557235,0.012067964341813312,0.4222758134044422,21.27582113461687,-0.009161162717495513,0.015670497923718035,-0.0001940265971607999,-1.2381648503148823,0.010654409223051664
20260918,I2_minus_I1,I2,I1,24,above_.05,311,0.05703515418496686,0.04647311718853928,1.0116857408128153,14.453139445635717,-0.04236723830926272,0.05689079886237419,0.00014435532259266665,0.2537410714549493,-0.005114649305890007
20260918,I2_minus_I1,I2,I1,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0021612883942189283,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004509966823867824,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.014918333724883315,0.0,0.0,0.0
20260918,I2_minus_I1,I2,I1,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.06980739046382615,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,zero,12791,0.002563100305798798,0.0006790009778217883,0.08403025932450116,8.685101507318494,0.0006790009778217883,0.002563100305798798,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,0_to_.01,13815,0.004859427106593859,0.0025618879818516743,0.32622784937639293,35.39248246928088,0.0015019664857007832,0.004859427106593859,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,.01_to_.05,1763,0.015670497923718035,0.012231559246157672,0.43293022262749387,21.564238950975977,-0.009329982021995316,0.015670497923718035,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,above_.05,311,0.05689079886237419,0.04668477185994988,1.0065710915069253,14.518964048444413,-0.0429730803552096,0.05689079886237419,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0022895864336998405,-0.00012829803948091224,-5.60354645679787,0.0062511586171030975
20260918,I1_minus_B0,I1,B0,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004636425661682981,-0.00012645883781515783,-2.7275070721020533,0.012562290542379118
20260918,I1_minus_B0,I1,B0,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.01487139567982177,4.6938045061544614e-05,0.3156263613188104,-0.0013772975862517134
20260918,I1_minus_B0,I1,B0,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.0701454014772481,-0.0003380110134219433,-0.4818719492703738,0.007143143340319957
20260918,I3_minus_B0,I3,B0,1,zero,14503,0.0022114674589534577,0.0006655905401576847,0.07092820243411195,9.653059603906902,0.0006655905401576847,0.0022114674589534577,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,0_to_.01,16098,0.0047846100118968974,0.002527023333476663,0.368523351765767,40.68002162230732,0.001619922849891871,0.0047846100118968974,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,.01_to_.05,2628,0.014428300785153607,0.010689516281422994,0.5470861694011591,28.09204878757963,-0.005389969801224639,0.014428300785153607,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,above_.05,948,0.054547304319578896,0.03368960423172617,2.820687171289048,31.93774481167641,-0.024900250064672575,0.054547304319578896,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,6,zero,14147,0.0022124507534374152,0.0006630848751461565,0.06924869264484973,9.380661728692676,0.0006630848751461565,0.0022124507534374152,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,6,0_to_.01,15675,0.004753746436173168,0.0025222041812780122,0.3542252986875512,39.53555054153284,0.0016081204432784595,0.004753746436173168,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,6,.01_to_.05,2421,0.014529733452404764,0.01091400016156009,0.5111049463131887,26.42279439113698,-0.006201136113600544,0.014529733452404764,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,6,above_.05,739,0.05296316238717141,0.036243972412123765,2.072966365266867,26.78429561255946,-0.02828579027793453,0.05296316238717141,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,24,zero,12791,0.0023069802338662178,0.0005561099245552708,0.06807572041275764,7.113202044986469,0.0005561099245552708,0.002563100305798798,-0.0002561200719325804,-9.99258871582709,0.015954538911743518
20260918,I3_minus_B0,I3,B0,24,0_to_.01,13815,0.00472534401540674,0.00245432768810758,0.3084734228233352,33.90653701120622,0.0013553616780140397,0.004859427106593859,-0.00013408309118711874,-2.759236598182091,0.017754426553057756
20260918,I3_minus_B0,I3,B0,24,.01_to_.05,1763,0.015516381017193357,0.012100245655420916,0.4244564948120765,21.332733090507077,-0.009255405617842688,0.015670497923718035,-0.00015411690652467752,-0.9834844257974318,0.008473727815417387
20260918,I3_minus_B0,I3,B0,24,above_.05,311,0.056933286271617325,0.04657325625979621,1.008075115648324,14.484282696796623,-0.04267221309863265,0.05689079886237419,4.248740924313321e-05,0.07468239169203805,-0.0015040241413988298
20260918,I3_minus_B0,I3,B0,48,zero,10947,0.0021612883942189283,0.00047681957509050334,0.05113527087412154,5.21974388851574,0.00047681957509050334,0.0022895864336998405,-0.00012829803948091224,-5.60354645679787,0.0062511586171030975
20260918,I3_minus_B0,I3,B0,48,0_to_.01,10861,0.004509966823867824,0.002166005053480893,0.22091057597169067,23.524980885855975,0.0009768873463379566,0.004636425661682981,-0.00012645883781515783,-2.7275070721020533,0.012562290542379118
20260918,I3_minus_B0,I3,B0,48,.01_to_.05,985,0.014918333724883315,0.012119300492626049,0.21921833091008602,11.937510985236658,-0.010413733687241312,0.01487139567982177,4.6938045061544614e-05,0.3156263613188104,-0.0013772975862517134
20260918,I3_minus_B0,I3,B0,48,above_.05,151,0.06980739046382615,0.05817958961266134,0.7358338362687322,8.785118031511862,-0.0581150997855935,0.0701454014772481,-0.0003380110134219433,-0.4818719492703738,0.007143143340319957
