cv_seed,pair,candidate,reference,horizon,start,end,common_target,accounting_only,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,24,144,215,False,False,17208,0.007186499621816445,0.001565753263448862,0.888720527421643,26.943482157428015,-0.00028835166696362013,0.007180145102819985,6.354518996460473e-06,0.08850126154087423,-0.0015709719542057465
20260917,I3_minus_I1,I3,I1,24,120,215,True,False,22944,0.00806394512464484,0.0022862241475628425,1.4919843285710117,52.45512684168186,-0.0002610122817996897,0.008074066051758652,-1.0120927113811684e-05,-0.12535105669103652,0.0037474810306470374
20260917,I3_minus_I1,I3,I1,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_I1,I3,I1,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_I1,I3,I1,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.00990031598846555,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.0070314426775457415,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_I2,I3,I2,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,73,95,False,True,5497,0.019810999575132205,0.006227762610023621,2.1574389457998886,34.234011067299846,-0.00013758344103916175,0.019810999575132205,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,78,95,False,True,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,26.034935594774286,-8.232700775341991e-05,0.017564853548849776,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,24,96,119,False,False,5736,0.01030965337020368,0.0047552528338535086,0.6096734321924822,27.276130254983727,-0.00017191693484910203,0.010422251509517446,-0.0001125981393137656,-1.0803629063349973,0.013389968770053384
20260917,I3_minus_I2,I3,I2,24,120,143,False,False,5736,0.010255316350558347,0.004447636799904784,0.6032638011493685,25.511644684253845,-0.00017899412630789898,0.010273422329668892,-1.8105979110545276e-05,-0.17624096946016188,0.002132030553040787
20260917,I3_minus_I2,I3,I2,24,144,215,False,False,17208,0.007186499621816445,0.001565753263448862,0.888720527421643,26.943482157428015,-0.00028835166696362013,0.007221523929764585,-3.50243079481399e-05,-0.4849988491180124,0.008683691173697938
20260917,I3_minus_I2,I3,I2,24,120,215,True,False,22944,0.00806394512464484,0.0022862241475628425,1.4919843285710117,52.45512684168186,-0.0002610122817996897,0.008093120998234041,-2.917587358920032e-05,-0.36050213008759213,0.010815721726738836
20260917,I3_minus_I2,I3,I2,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_I2,I3,I2,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_I2,I3,I2,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.00990031598846555,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.0070314426775457415,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I2_minus_I1,I2,I1,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,73,95,False,True,5497,0.019810999575132205,0.006227762610023621,2.1574389457998886,34.234011067299846,-0.00013758344103916175,0.019810999575132205,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,78,95,False,True,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,26.034935594774286,-8.232700775341991e-05,0.017564853548849776,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,24,96,119,False,False,5736,0.010422251509517446,0.004711660824483072,0.6230634009625355,27.026086489234903,-0.0002079935313963108,0.010304531554606674,0.00011771995491077249,1.1424095727878614,-0.013995587431037348
20260917,I2_minus_I1,I2,I1,24,120,143,False,False,5736,0.010273422329668892,0.004387477201724591,0.6053958317024093,25.166569229092254,-0.0002130279767060662,0.010300423260235317,-2.7000930566425246e-05,-0.262134185016083,0.003186422431812108
20260917,I2_minus_I1,I2,I1,24,144,215,False,False,17208,0.007221523929764585,0.0015365043363566174,0.8974042185953409,26.440166620024673,-0.00030634738121294045,0.007180145102819985,4.137882694460037e-05,0.5762951354332468,-0.010254663127903685
20260917,I2_minus_I1,I2,I1,24,120,215,True,False,22944,0.008093120998234041,0.002249247552698611,1.5028000502977505,51.60673584911693,-0.0002830175300862218,0.008074066051758652,1.9054946475388634e-05,0.23600186514747268,-0.007068240696091799
20260917,I2_minus_I1,I2,I1,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I2_minus_I1,I2,I1,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I2_minus_I1,I2,I1,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.00990031598846555,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.0070314426775457415,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I1_minus_B0,I1,B0,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,73,95,False,True,5497,0.019810999575132205,0.006227762610023621,2.1574389457998886,34.234011067299846,-0.00013758344103916175,0.019810999575132205,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,78,95,False,True,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,26.034935594774286,-8.232700775341991e-05,0.017564853548849776,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,96,119,False,False,5736,0.010304531554606674,0.004882146146634111,0.6090678135314982,28.003990297093257,-6.0300011140614387e-05,0.010304531554606674,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,120,143,False,False,5736,0.010300423260235317,0.0045838250918805576,0.6085822541342214,26.29282072702688,-3.504340427975726e-05,0.010300423260235317,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,144,215,False,False,17208,0.007180145102819985,0.0016614140360196915,0.8871495554674372,28.58961273182685,-0.00017125898043234976,0.007180145102819985,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,120,215,True,False,22944,0.008074066051758652,0.002392016799984908,1.4957318096016587,54.88243345885373,-0.00013720508639420152,0.008074066051758652,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I1_minus_B0,I1,B0,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I1_minus_B0,I1,B0,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.009982761611877148,-8.244562341159709e-05,-0.8258799179728604,0.009402868368389772
20260917,I1_minus_B0,I1,B0,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.007064432341852604,-3.298966430686275e-05,-0.4669825218852841,0.00800203292750501
20260917,I1_minus_B0,I1,B0,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007895792270846023,-4.818411526286148e-05,-0.6102505437076133,0.01740490129589478
20260917,I1_minus_B0,I1,B0,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_B0,I3,B0,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,1,73,95,False,True,5497,0.019810999575132205,0.006227762610023621,2.1574389457998886,34.234011067299846,-0.00013758344103916175,0.019810999575132205,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,78,95,False,True,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,26.034935594774286,-8.232700775341991e-05,0.017564853548849776,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,24,96,119,False,False,5736,0.01030965337020368,0.0047552528338535086,0.6096734321924822,27.276130254983727,-0.00017191693484910203,0.010304531554606674,5.12181559700689e-06,0.049704497190039554,-0.0006056186609839642
20260917,I3_minus_B0,I3,B0,24,120,143,False,False,5736,0.010255316350558347,0.004447636799904784,0.6032638011493685,25.511644684253845,-0.00017899412630789898,0.010300423260235317,-4.510690967697052e-05,-0.43791316664728575,0.005318452984852895
20260917,I3_minus_B0,I3,B0,24,144,215,False,False,17208,0.007186499621816445,0.001565753263448862,0.888720527421643,26.943482157428015,-0.00028835166696362013,0.007180145102819985,6.354518996460473e-06,0.08850126154087423,-0.0015709719542057465
20260917,I3_minus_B0,I3,B0,24,120,215,True,False,22944,0.00806394512464484,0.0022862241475628425,1.4919843285710117,52.45512684168186,-0.0002610122817996897,0.008074066051758652,-1.0120927113811684e-05,-0.12535105669103652,0.0037474810306470374
20260917,I3_minus_B0,I3,B0,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_B0,I3,B0,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I3_minus_B0,I3,B0,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.009982761611877148,-8.244562341159709e-05,-0.8258799179728604,0.009402868368389772
20260917,I3_minus_B0,I3,B0,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.007064432341852604,-3.298966430686275e-05,-0.4669825218852841,0.00800203292750501
20260917,I3_minus_B0,I3,B0,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007895792270846023,-4.818411526286148e-05,-0.6102505437076133,0.01740490129589478
20260917,I3_minus_B0,I3,B0,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
