comparison,horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
B_minus_A,osi_target_t01h,C3_aligned_component,all_counties,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51,239,2000,20260910,-6.863493435218222e-05,1.9930076906363674e-07,0.6895,0.0
C_minus_B,osi_target_t01h,v18_rule,all_counties,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.01132776337201061,0.003457308704214013,4.385531907890186,-9.286991608291708e-05,-9.849870495003132e-05,-0.8620378588080846,0.07659892917113176,16870,239,2000,20260910,-0.00024014818094588719,-1.6064580334042887e-06,0.978,0.0
C_minus_B,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.01107276993460616,0.003399571493495693,4.172780568797256,-1.9093660633983375e-05,0.011033089089285275,0.0033959578855281827,4.142926652836568,-3.132294225855357e-05,-3.968084532088474e-05,-0.35836421740208513,0.02985391596068787,16727,238,2000,20260910,-8.650749977690774e-05,1.4242755152568785e-05,0.9235,0.0
C_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01132776337201061,0.003457308704214013,4.385531907890186,-9.286991608291708e-05,-0.00011881749656645138,-1.038017360211263,0.09248263966335735,16878,239,2000,20260910,-0.0003054664600708069,-1.5224296677123475e-06,0.978,0.0
C_minus_A,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011072698786800929,0.0033992627070996016,4.172726944775963,-2.0371077986646358e-05,0.011033089089285275,0.0033959578855281827,4.142926652836568,-3.132294225855357e-05,-3.960969751565409e-05,-0.35772396845898946,0.02980029193939515,16735,238,2000,20260910,-8.646085414534947e-05,1.4329639134381075e-05,0.9235,0.0
B_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51,239,2000,20260910,-6.863493435218222e-05,1.9930076906363674e-07,0.6895,0.0
C_minus_B,osi_target_t06h,C0_direct_osi,all_counties,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t06h,C0_direct_osi,all_counties,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t06h,C0_direct_osi,all_counties,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t06h,C1_component_osi,all_counties,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t06h,C1_component_osi,all_counties,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t06h,C1_component_osi,all_counties,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t06h,C2_equal_blend,all_counties,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t06h,C2_equal_blend,all_counties,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t06h,C2_equal_blend,all_counties,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t06h,C3_aligned_component,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.010029440966010272,0.0032534330044916918,3.317649026642975,-6.92050905314834e-05,1.8945214675781738e-05,0.18925351097878185,-0.012521975909314698,16031,239,2000,20260910,-1.9093521016767725e-05,6.36920830275928e-05,0.1775,0.0
C_minus_A,osi_target_t06h,C3_aligned_component,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.010029440966010272,0.0032534330044916918,3.317649026642975,-6.92050905314834e-05,1.8945214675781738e-05,0.18925351097878185,-0.012521975909314698,16031,239,2000,20260910,-1.9093521016767725e-05,6.36920830275928e-05,0.1775,0.0
B_minus_A,osi_target_t06h,C3_aligned_component,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t06h,v18_rule,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.010029440966010272,0.0032534330044916918,3.317649026642975,-6.92050905314834e-05,1.8945214675781738e-05,0.18925351097878185,-0.012521975909314698,16031,239,2000,20260910,-1.9093521016767725e-05,6.36920830275928e-05,0.1775,0.0
C_minus_B,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.00989864187728785,0.0032098069745493834,3.218157298169984,-2.1190006509769885e-05,0.009904294698501279,0.003214438008261294,3.221833936325035,-3.127620532871388e-05,5.6528212134289435e-06,0.057107038354420325,-0.0036766381550510374,15893,238,2000,20260910,-2.6211159434873927e-05,3.752284087160844e-05,0.357,0.0
C_minus_A,osi_target_t06h,v18_rule,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.010029440966010272,0.0032534330044916918,3.317649026642975,-6.92050905314834e-05,1.8945214675781738e-05,0.18925351097878185,-0.012521975909314698,16031,239,2000,20260910,-1.9093521016767725e-05,6.36920830275928e-05,0.1775,0.0
C_minus_A,osi_target_t06h,v18_rule,exclude_Morrow_diagnostic_only,32844,0.00989864187728785,0.0032098069745493834,3.218157298169984,-2.1190006509769885e-05,0.009904294698501279,0.003214438008261294,3.221833936325035,-3.127620532871388e-05,5.6528212134289435e-06,0.057107038354420325,-0.0036766381550510374,15893,238,2000,20260910,-2.6211159434873927e-05,3.752284087160844e-05,0.357,0.0
B_minus_A,osi_target_t06h,v18_rule,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t24h,C0_direct_osi,all_counties,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t24h,C0_direct_osi,all_counties,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t24h,C0_direct_osi,all_counties,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t24h,C1_component_osi,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t24h,C1_component_osi,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t24h,C1_component_osi,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t24h,C2_equal_blend,all_counties,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t24h,C2_equal_blend,all_counties,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t24h,C2_equal_blend,all_counties,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t24h,C3_aligned_component,all_counties,28680,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.007860712931166828,0.002710858780985826,1.7721603673086,-2.6193303061383987e-05,4.109602060906742e-06,0.05230761804764228,-0.001852496130664516,13247,239,2000,20260910,-1.1088329264060966e-05,2.318052216638399e-05,0.31,0.0
C_minus_A,osi_target_t24h,C3_aligned_component,all_counties,28680,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.007860712931166828,0.002710858780985826,1.7721603673086,-2.6193303061383987e-05,4.109602060906742e-06,0.05230761804764228,-0.001852496130664516,13247,239,2000,20260910,-1.1088329264060966e-05,2.318052216638399e-05,0.31,0.0
B_minus_A,osi_target_t24h,C3_aligned_component,all_counties,28680,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t24h,v18_rule,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t24h,v18_rule,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t24h,v18_rule,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t48h,C0_direct_osi,all_counties,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t48h,C0_direct_osi,all_counties,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t48h,C0_direct_osi,all_counties,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t48h,C1_component_osi,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t48h,C1_component_osi,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t48h,C1_component_osi,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t48h,C2_equal_blend,all_counties,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t48h,C2_equal_blend,all_counties,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t48h,C2_equal_blend,all_counties,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t48h,C3_aligned_component,all_counties,22944,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.006866625145138303,0.0021607126401706287,1.081822010038954,2.5603809186152422e-05,6.612223247702033e-06,0.0963879124280087,-0.0020824799314720366,9333,239,2000,20260910,-5.1012869225693615e-06,1.9611852260259326e-05,0.141,0.0
C_minus_A,osi_target_t48h,C3_aligned_component,all_counties,22944,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.006866625145138303,0.0021607126401706287,1.081822010038954,2.5603809186152422e-05,6.612223247702033e-06,0.0963879124280087,-0.0020824799314720366,9333,239,2000,20260910,-5.1012869225693615e-06,1.9611852260259326e-05,0.141,0.0
B_minus_A,osi_target_t48h,C3_aligned_component,all_counties,22944,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_B,osi_target_t48h,v18_rule,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
C_minus_A,osi_target_t48h,v18_rule,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
B_minus_A,osi_target_t48h,v18_rule,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
