case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,countyName,stateAbbr
L2_N01,osi_target_t24h,39117,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0,Morrow County,OH
L2_N01,osi_target_t24h,42053,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0,Forest County,PA
L2_N01,osi_target_t24h,42131,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0,Wyoming County,PA
L2_N01,osi_target_t24h,54013,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0,Calhoun County,WV
L2_N01,osi_target_t24h,54015,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0,Clay County,WV
L2_N01,osi_target_t48h,18013,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0,Brown County,IN
L2_N01,osi_target_t48h,39115,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0,Morgan County,OH
L2_N01,osi_target_t48h,39117,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0,Morrow County,OH
L2_N01,osi_target_t48h,42053,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0,Forest County,PA
L2_N01,osi_target_t48h,42131,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0,Wyoming County,PA
L2_N01,osi_target_t48h,54013,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0,Calhoun County,WV
L2_N01,osi_target_t48h,54015,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0,Clay County,WV
L2_N06,osi_target_t01h,18013,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0,Brown County,IN
L2_N06,osi_target_t01h,39115,2,143,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,0.031664786178197714,0.0,0.0,0.0,Morgan County,OH
L2_N06,osi_target_t01h,39117,4,143,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,0.017959500045327124,0.0,0.0,0.0,Morrow County,OH
L2_N06,osi_target_t01h,42053,3,143,0.09413286581485097,0.03420007280432822,1.2671224889918935,-0.026158350867554837,0.09413286581485097,0.0,0.0,0.0,Forest County,PA
L2_N06,osi_target_t01h,42131,3,143,0.01577127595360595,0.003485654799136338,0.03556883976428487,-0.0031772684897218902,0.01577127595360595,0.0,0.0,0.0,Wyoming County,PA
L2_N06,osi_target_t01h,54013,2,143,0.043186635042322584,0.021675668668231313,0.2667072188178634,-0.02027209516743594,0.043186635042322584,0.0,0.0,0.0,Calhoun County,WV
L2_N06,osi_target_t01h,54015,2,143,0.050411612307364954,0.026552081665171288,0.3634102837262139,-0.0241221602510466,0.050411612307364954,0.0,0.0,0.0,Clay County,WV
L2_N06,osi_target_t06h,18013,1,138,0.02943124372239271,0.013377074851358013,0.1195353387724695,-0.009334739808287182,0.02943124372239271,0.0,0.0,0.0,Brown County,IN
L2_N06,osi_target_t06h,39115,2,138,0.032224566464522306,0.006759112633940671,0.14330233036804532,-0.00581137241155531,0.032224566464522306,0.0,0.0,0.0,Morgan County,OH
L2_N06,osi_target_t06h,39117,4,138,0.016631791963926442,0.00888880595132438,0.03817307754252329,-0.004504517956755921,0.016631791963926442,0.0,0.0,0.0,Morrow County,OH
L2_N06,osi_target_t06h,42053,3,138,0.06899869105176959,0.023905652271333958,0.6569930726263418,-0.015572563597720959,0.06899869105176959,0.0,0.0,0.0,Forest County,PA
L2_N06,osi_target_t06h,42131,3,138,0.016054443099013296,0.0036112220020035972,0.03556882976428487,-0.003291662275581379,0.016054443099013296,0.0,0.0,0.0,Wyoming County,PA
L2_N06,osi_target_t06h,54013,2,138,0.043961679553853834,0.022429530985623742,0.26670283914901083,-0.021029383713654645,0.043961679553853834,0.0,0.0,0.0,Calhoun County,WV
L2_N06,osi_target_t06h,54015,2,138,0.05130309575083716,0.027290912316642716,0.3632170534395001,-0.025219352857409155,0.05130309575083716,0.0,0.0,0.0,Clay County,WV
L2_N06,osi_target_t24h,18013,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0,Brown County,IN
L2_N06,osi_target_t24h,39115,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0,Morgan County,OH
L2_N06,osi_target_t24h,39117,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0,Morrow County,OH
L2_N06,osi_target_t24h,42053,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0,Forest County,PA
L2_N06,osi_target_t24h,42131,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0,Wyoming County,PA
L2_N06,osi_target_t24h,54013,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0,Calhoun County,WV
L2_N06,osi_target_t24h,54015,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0,Clay County,WV
L2_N06,osi_target_t48h,18013,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0,Brown County,IN
L2_N06,osi_target_t48h,39115,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0,Morgan County,OH
L2_N06,osi_target_t48h,39117,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0,Morrow County,OH
L2_N06,osi_target_t48h,42053,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0,Forest County,PA
L2_N06,osi_target_t48h,42131,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0,Wyoming County,PA
L2_N06,osi_target_t48h,54013,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0,Calhoun County,WV
L2_N06,osi_target_t48h,54015,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0,Clay County,WV
L2_N24,osi_target_t01h,18013,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0,Brown County,IN
L2_N24,osi_target_t01h,39115,2,143,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,0.031664786178197714,0.0,0.0,0.0,Morgan County,OH
L2_N24,osi_target_t01h,39117,4,143,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,0.017959500045327124,0.0,0.0,0.0,Morrow County,OH
L2_N24,osi_target_t01h,42053,3,143,0.09413286581485097,0.03420007280432822,1.2671224889918935,-0.026158350867554837,0.09413286581485097,0.0,0.0,0.0,Forest County,PA
L2_N24,osi_target_t01h,42131,3,143,0.01577127595360595,0.003485654799136338,0.03556883976428487,-0.0031772684897218902,0.01577127595360595,0.0,0.0,0.0,Wyoming County,PA
L2_N24,osi_target_t01h,54013,2,143,0.043186635042322584,0.021675668668231313,0.2667072188178634,-0.02027209516743594,0.043186635042322584,0.0,0.0,0.0,Calhoun County,WV
L2_N24,osi_target_t01h,54015,2,143,0.050411612307364954,0.026552081665171288,0.3634102837262139,-0.0241221602510466,0.050411612307364954,0.0,0.0,0.0,Clay County,WV
L2_N24,osi_target_t06h,18013,1,138,0.02943124372239271,0.013377074851358013,0.1195353387724695,-0.009334739808287182,0.02943124372239271,0.0,0.0,0.0,Brown County,IN
L2_N24,osi_target_t06h,39115,2,138,0.032224566464522306,0.006759112633940671,0.14330233036804532,-0.00581137241155531,0.032224566464522306,0.0,0.0,0.0,Morgan County,OH
L2_N24,osi_target_t06h,39117,4,138,0.016631791963926442,0.00888880595132438,0.03817307754252329,-0.004504517956755921,0.016631791963926442,0.0,0.0,0.0,Morrow County,OH
L2_N24,osi_target_t06h,42053,3,138,0.06899869105176959,0.023905652271333958,0.6569930726263418,-0.015572563597720959,0.06899869105176959,0.0,0.0,0.0,Forest County,PA
L2_N24,osi_target_t06h,42131,3,138,0.016054443099013296,0.0036112220020035972,0.03556882976428487,-0.003291662275581379,0.016054443099013296,0.0,0.0,0.0,Wyoming County,PA
L2_N24,osi_target_t06h,54013,2,138,0.043961679553853834,0.022429530985623742,0.26670283914901083,-0.021029383713654645,0.043961679553853834,0.0,0.0,0.0,Calhoun County,WV
L2_N24,osi_target_t06h,54015,2,138,0.05130309575083716,0.027290912316642716,0.3632170534395001,-0.025219352857409155,0.05130309575083716,0.0,0.0,0.0,Clay County,WV
L2_N24,osi_target_t24h,18013,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0,Brown County,IN
L2_N24,osi_target_t24h,39115,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0,Morgan County,OH
L2_N24,osi_target_t24h,39117,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0,Morrow County,OH
L2_N24,osi_target_t24h,42053,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0,Forest County,PA
L2_N24,osi_target_t24h,42131,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0,Wyoming County,PA
L2_N24,osi_target_t24h,54013,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0,Calhoun County,WV
L2_N24,osi_target_t24h,54015,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0,Clay County,WV
L2_N24,osi_target_t48h,18013,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0,Brown County,IN
L2_N24,osi_target_t48h,39115,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0,Morgan County,OH
L2_N24,osi_target_t48h,39117,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0,Morrow County,OH
L2_N24,osi_target_t48h,42053,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0,Forest County,PA
L2_N24,osi_target_t48h,42131,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0,Wyoming County,PA
L2_N24,osi_target_t48h,54013,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0,Calhoun County,WV
L2_N24,osi_target_t48h,54015,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0,Clay County,WV
L2_N48,osi_target_t01h,18013,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0,Brown County,IN
L2_N48,osi_target_t01h,39115,2,143,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,0.031664786178197714,0.0,0.0,0.0,Morgan County,OH
L2_N48,osi_target_t01h,39117,4,143,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,0.017959500045327124,0.0,0.0,0.0,Morrow County,OH
L2_N48,osi_target_t01h,42053,3,143,0.09413286581485097,0.03420007280432822,1.2671224889918935,-0.026158350867554837,0.09413286581485097,0.0,0.0,0.0,Forest County,PA
L2_N48,osi_target_t01h,42131,3,143,0.01577127595360595,0.003485654799136338,0.03556883976428487,-0.0031772684897218902,0.01577127595360595,0.0,0.0,0.0,Wyoming County,PA
L2_N48,osi_target_t01h,54013,2,143,0.043186635042322584,0.021675668668231313,0.2667072188178634,-0.02027209516743594,0.043186635042322584,0.0,0.0,0.0,Calhoun County,WV
L2_N48,osi_target_t01h,54015,2,143,0.050411612307364954,0.026552081665171288,0.3634102837262139,-0.0241221602510466,0.050411612307364954,0.0,0.0,0.0,Clay County,WV
L2_N48,osi_target_t06h,18013,1,138,0.02943124372239271,0.013377074851358013,0.1195353387724695,-0.009334739808287182,0.02943124372239271,0.0,0.0,0.0,Brown County,IN
L2_N48,osi_target_t06h,39115,2,138,0.032224566464522306,0.006759112633940671,0.14330233036804532,-0.00581137241155531,0.032224566464522306,0.0,0.0,0.0,Morgan County,OH
L2_N48,osi_target_t06h,39117,4,138,0.016631791963926442,0.00888880595132438,0.03817307754252329,-0.004504517956755921,0.016631791963926442,0.0,0.0,0.0,Morrow County,OH
L2_N48,osi_target_t06h,42053,3,138,0.06899869105176959,0.023905652271333958,0.6569930726263418,-0.015572563597720959,0.06899869105176959,0.0,0.0,0.0,Forest County,PA
L2_N48,osi_target_t06h,42131,3,138,0.016054443099013296,0.0036112220020035972,0.03556882976428487,-0.003291662275581379,0.016054443099013296,0.0,0.0,0.0,Wyoming County,PA
L2_N48,osi_target_t06h,54013,2,138,0.043961679553853834,0.022429530985623742,0.26670283914901083,-0.021029383713654645,0.043961679553853834,0.0,0.0,0.0,Calhoun County,WV
L2_N48,osi_target_t06h,54015,2,138,0.05130309575083716,0.027290912316642716,0.3632170534395001,-0.025219352857409155,0.05130309575083716,0.0,0.0,0.0,Clay County,WV
L2_N48,osi_target_t24h,18013,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0,Brown County,IN
L2_N48,osi_target_t24h,39115,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0,Morgan County,OH
L2_N48,osi_target_t24h,39117,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0,Morrow County,OH
L2_N48,osi_target_t24h,42053,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0,Forest County,PA
L2_N48,osi_target_t24h,42131,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0,Wyoming County,PA
L2_N48,osi_target_t24h,54013,2,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0,0.0,0.0,Calhoun County,WV
L2_N48,osi_target_t24h,54015,2,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.0,0.0,0.0,Clay County,WV
L2_N48,osi_target_t48h,18013,1,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0,Brown County,IN
L2_N48,osi_target_t48h,39115,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0,Morgan County,OH
L2_N48,osi_target_t48h,39117,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0,Morrow County,OH
L2_N48,osi_target_t48h,42053,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0,Forest County,PA
L2_N48,osi_target_t48h,42131,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0,Wyoming County,PA
L2_N48,osi_target_t48h,54013,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0,Calhoun County,WV
L2_N48,osi_target_t48h,54015,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0,Clay County,WV
L2_all,osi_target_t01h,18013,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0,Brown County,IN
L2_all,osi_target_t01h,39115,2,143,0.031664786178197714,0.006647932880791443,0.1433801917706703,-0.0054830247155613215,0.031664786178197714,0.0,0.0,0.0,Morgan County,OH
L2_all,osi_target_t01h,39117,4,143,0.017959500045327124,0.009890422007655407,0.04612374078856901,-0.00565943079611382,0.017959500045327124,0.0,0.0,0.0,Morrow County,OH
L2_all,osi_target_t01h,42053,3,143,0.09413286581485097,0.03420007280432822,1.2671224889918935,-0.026158350867554837,0.09413286581485097,0.0,0.0,0.0,Forest County,PA
L2_all,osi_target_t01h,42131,3,143,0.01577127595360595,0.003485654799136338,0.03556883976428487,-0.0031772684897218902,0.01577127595360595,0.0,0.0,0.0,Wyoming County,PA
L2_all,osi_target_t01h,54013,2,143,0.043186635042322584,0.021675668668231313,0.2667072188178634,-0.02027209516743594,0.043186635042322584,0.0,0.0,0.0,Calhoun County,WV
L2_all,osi_target_t01h,54015,2,143,0.050411612307364954,0.026552081665171288,0.3634102837262139,-0.0241221602510466,0.050411612307364954,0.0,0.0,0.0,Clay County,WV
L2_all,osi_target_t06h,18013,1,138,0.02943124372239271,0.013377074851358013,0.1195353387724695,-0.009334739808287182,0.02943124372239271,0.0,0.0,0.0,Brown County,IN
L2_all,osi_target_t06h,39115,2,138,0.032224566464522306,0.006759112633940671,0.14330233036804532,-0.00581137241155531,0.032224566464522306,0.0,0.0,0.0,Morgan County,OH
L2_all,osi_target_t06h,39117,4,138,0.016631791963926442,0.00888880595132438,0.03817307754252329,-0.004504517956755921,0.016631791963926442,0.0,0.0,0.0,Morrow County,OH
L2_all,osi_target_t06h,42053,3,138,0.06899869105176959,0.023905652271333958,0.6569930726263418,-0.015572563597720959,0.06899869105176959,0.0,0.0,0.0,Forest County,PA
L2_all,osi_target_t06h,42131,3,138,0.016054443099013296,0.0036112220020035972,0.03556882976428487,-0.003291662275581379,0.016054443099013296,0.0,0.0,0.0,Wyoming County,PA
L2_all,osi_target_t06h,54013,2,138,0.043961679553853834,0.022429530985623742,0.26670283914901083,-0.021029383713654645,0.043961679553853834,0.0,0.0,0.0,Calhoun County,WV
L2_all,osi_target_t06h,54015,2,138,0.05130309575083716,0.027290912316642716,0.3632170534395001,-0.025219352857409155,0.05130309575083716,0.0,0.0,0.0,Clay County,WV
L2_all,osi_target_t24h,18013,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0,Brown County,IN
