split_seed,case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,B0,osi_target_t06h,120,215,True,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006817160893200843,0.0,0.0,0.0
20260918,B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t24h,96,143,False,11472,0.010448911534888689,0.004803986769980263,1.2525101179718037,-1.7868252912179263e-05,0.010448911534888689,0.0,0.0,0.0
20260918,B0,osi_target_t24h,144,215,False,17208,0.0060355126760315994,0.0014941903020165234,0.626842927421756,-1.7504713933196572e-05,0.0060355126760315994,0.0,0.0,0.0
20260918,B0,osi_target_t24h,120,215,True,22944,0.006980016740105945,0.0022268814762819306,1.117846219432901,2.5560926991132495e-05,0.006980016740105945,0.0,0.0,0.0
20260918,B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260918,B0,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
20260918,B0,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
20260918,B0,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
20260918,NB_P24,osi_target_t01h,73,76,False,956,0.02390986004365816,0.0065818775901802275,0.5465274253857988,-0.00044650771603204015,0.02390986004365816,0.0,0.0,0.0
20260918,NB_P24,osi_target_t01h,77,95,False,4541,0.018398232854226117,0.0060620894513272955,1.537105668570955,-0.0004245862266479627,0.018398232854226117,0.0,0.0,0.0
20260918,NB_P24,osi_target_t01h,96,143,False,11472,0.009835193476227832,0.004476784764982706,1.1096983843605817,5.8448452575055665e-05,0.009875218722320597,-4.0025246092765046e-05,-0.40530997052549145,0.009050422541854841
20260918,NB_P24,osi_target_t01h,144,215,False,17208,0.005972845614786343,0.0014635621122093864,0.6138934165727508,-2.064814468083017e-05,0.005979704263586204,-6.858648799860402e-06,-0.11469879608639877,0.001410683307046412
20260918,NB_P24,osi_target_t01h,120,215,True,22944,0.0068115101216831364,0.002155517432010113,1.0645251996414955,5.745905782547707e-05,0.006817160893200843,-5.650771517706765e-06,-0.08289039390786401,0.0017669749375517352
20260918,NB_P24,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
20260918,NB_P24,osi_target_t06h,77,95,False,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,-0.0003820100519784573,0.01727585081495408,0.0,0.0,0.0
20260918,NB_P24,osi_target_t06h,96,143,False,11472,0.009835193476227832,0.004476784764982706,1.1096983843605817,5.8448452575055665e-05,0.009875218722320597,-4.0025246092765046e-05,-0.40530997052549145,0.009050422541854841
20260918,NB_P24,osi_target_t06h,144,215,False,17208,0.005972845614786343,0.0014635621122093864,0.6138934165727508,-2.064814468083017e-05,0.005979704263586204,-6.858648799860402e-06,-0.11469879608639877,0.001410683307046412
20260918,NB_P24,osi_target_t06h,120,215,True,22944,0.0068115101216831364,0.002155517432010113,1.0645251996414955,5.745905782547707e-05,0.006817160893200843,-5.650771517706765e-06,-0.08289039390786401,0.0017669749375517352
20260918,NB_P24,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
20260918,NB_P24,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
20260918,NB_P24,osi_target_t24h,96,143,False,11472,0.010339135497960747,0.0047528290126696154,1.226330676480043,-2.723811979928143e-05,0.010448911534888689,-0.00010977603692794227,-1.050597821231447,0.026179441491760658
20260918,NB_P24,osi_target_t24h,144,215,False,17208,0.0060190536337094815,0.0014897915238652915,0.6234287463552703,-3.843681870976269e-06,0.0060355126760315994,-1.645904232211795e-05,-0.2727033013695812,0.003414181066485611
20260918,NB_P24,osi_target_t24h,120,215,True,22944,0.006965158132769061,0.0022137385727993533,1.113092087775406,3.8090226520930244e-05,0.006980016740105945,-1.4858607336883448e-05,-0.21287352008066973,0.004754131657495053
20260918,NB_P24,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
20260918,NB_P24,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
20260918,NB_P24,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
20260918,NB_P24,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
20260918,NB_P24,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
